2022-05-17 17:41:47,233  INFO WorkerThread Start
2022-05-17 17:41:47,244 DEBUG MainThread STREAM b'IHDR' 16 13
2022-05-17 17:41:47,244 DEBUG MainThread STREAM b'IDAT' 41 8192
2022-05-17 17:41:47,658 DEBUG MainThread STREAM b'IHDR' 16 13
2022-05-17 17:41:47,658 DEBUG MainThread STREAM b'IDAT' 41 8192
2022-05-17 17:41:48,056 DEBUG MainThread STREAM b'IHDR' 16 13
2022-05-17 17:41:48,056 DEBUG MainThread STREAM b'IDAT' 41 8192
2022-05-17 17:41:48,450 DEBUG MainThread STREAM b'IHDR' 16 13
2022-05-17 17:41:48,450 DEBUG MainThread STREAM b'iCCP' 41 3181
2022-05-17 17:41:48,450 DEBUG MainThread iCCP profile name b'ICC Profile'
2022-05-17 17:41:48,450 DEBUG MainThread Compression method 0
2022-05-17 17:41:48,450 DEBUG MainThread STREAM b'eXIf' 3234 138
2022-05-17 17:41:48,450 DEBUG MainThread STREAM b'pHYs' 3384 9
2022-05-17 17:41:48,450 DEBUG MainThread STREAM b'iTXt' 3405 470
2022-05-17 17:41:48,450 DEBUG MainThread STREAM b'iDOT' 3887 28
2022-05-17 17:41:48,450 DEBUG MainThread b'iDOT' 3887 28 (unknown)
2022-05-17 17:41:48,451 DEBUG MainThread STREAM b'IDAT' 3927 16384
2022-05-17 17:41:48,541 DEBUG MainThread STREAM b'IHDR' 16 13
2022-05-17 17:41:48,541 DEBUG MainThread STREAM b'IDAT' 41 8192
2022-05-17 17:41:49,719 DEBUG MainThread STREAM b'IHDR' 16 13
2022-05-17 17:41:49,720 DEBUG MainThread STREAM b'iCCP' 41 3181
2022-05-17 17:41:49,720 DEBUG MainThread iCCP profile name b'ICC Profile'
2022-05-17 17:41:49,720 DEBUG MainThread Compression method 0
2022-05-17 17:41:49,720 DEBUG MainThread STREAM b'eXIf' 3234 138
2022-05-17 17:41:49,720 DEBUG MainThread STREAM b'pHYs' 3384 9
2022-05-17 17:41:49,720 DEBUG MainThread STREAM b'iTXt' 3405 470
2022-05-17 17:41:49,720 DEBUG MainThread STREAM b'iDOT' 3887 28
2022-05-17 17:41:49,720 DEBUG MainThread b'iDOT' 3887 28 (unknown)
2022-05-17 17:41:49,720 DEBUG MainThread STREAM b'IDAT' 3927 16384
2022-05-17 17:41:49,810 DEBUG MainThread STREAM b'IHDR' 16 13
2022-05-17 17:41:49,810 DEBUG MainThread STREAM b'IDAT' 41 8192
2022-05-17 17:41:50,214  INFO MainThread Loading face detector...
2022-05-17 17:41:50,232  INFO MainThread Loading Model...
2022-05-17 17:41:52,385 DEBUG MainThread Live detection COG: (1056.0, 1081.0)
2022-05-17 17:41:52,385 DEBUG MainThread Live detection COG: (631.5, 1084.0)
2022-05-17 17:41:52,385 DEBUG MainThread Live detection COG: (2359.5, 212.0)
2022-05-17 17:41:52,385 DEBUG MainThread Live detection COG: (642.0, 655.5)
2022-05-17 17:41:52,386 DEBUG MainThread Live detection COG: (640.0, 198.0)
2022-05-17 17:41:52,386 DEBUG MainThread Live detection COG: (2356.0, 1054.0)
2022-05-17 17:41:52,386 DEBUG MainThread Live detection COG: (2363.0, 1505.0)
2022-05-17 17:41:52,386 DEBUG MainThread Live detection COG: (1934.0, 1080.0)
2022-05-17 17:41:52,386 DEBUG MainThread Live detection COG: (1933.5, 226.0)
2022-05-17 17:41:52,386 DEBUG MainThread Live detection COG: (1932.0, 1497.0)
2022-05-17 17:41:52,386 DEBUG MainThread Live detection COG: (1484.5, 1512.5)
2022-05-17 17:41:52,386 DEBUG MainThread Live detection COG: (1052.5, 648.0)
2022-05-17 17:41:52,387 DEBUG MainThread Live detection COG: (2360.0, 645.5)
2022-05-17 17:41:52,387 DEBUG MainThread Live detection COG: (624.0, 1516.0)
2022-05-17 17:41:52,387 DEBUG MainThread Live detection COG: (1921.5, 639.0)
2022-05-17 17:41:52,387 DEBUG MainThread Live detection COG: (191.5, 185.5)
2022-05-17 17:41:52,387 DEBUG MainThread Live detection COG: (1071.5, 226.5)
2022-05-17 17:41:52,387 DEBUG MainThread Live detection COG: (1497.5, 1068.0)
2022-05-17 17:41:52,387 DEBUG MainThread Live detection COG: (201.5, 1085.0)
2022-05-17 17:41:52,387 DEBUG MainThread Live detection COG: (1084.5, 1501.0)
2022-05-17 17:41:52,388 DEBUG MainThread Live detection COG: (1499.5, 217.0)
2022-05-17 17:41:52,388 DEBUG MainThread Live detection COG: (1493.5, 648.5)
2022-05-17 17:41:52,388 DEBUG MainThread Live detection COG: (208.5, 1502.5)
2022-05-17 17:41:52,388 DEBUG MainThread Live detection COG: (206.0, 650.0)
2022-05-17 17:41:52,388 DEBUG MainThread Face detection COG: (1938.0, 1094.0)
2022-05-17 17:41:52,388 DEBUG MainThread Face detection COG: (1494.0, 672.0)
2022-05-17 17:41:52,388 DEBUG MainThread Face detection COG: (1938.0, 1518.0)
2022-05-17 17:41:52,388 DEBUG MainThread Face detection COG: (2360.0, 1518.0)
2022-05-17 17:41:52,389 DEBUG MainThread Face detection COG: (2360.0, 230.0)
